"filename", "language", "Python", "XML", "SQL", "C#", "JSON", "Properties", "comment", "blank", "total"
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Property_index.cs", "C#", 0, 0, 0, 9, 0, 0, 3, 2, 14
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc.cs", "C#", 0, 0, 0, 8, 0, 0, 1, 1, 10
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1Res_1.cs", "C#", 0, 0, 0, 8, 0, 0, 2, 1, 11
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1Res_2.cs", "C#", 0, 0, 0, 11, 0, 0, 2, 2, 15
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1Res_3.cs", "C#", 0, 0, 0, 11, 0, 0, 2, 1, 14
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1Res_4.cs", "C#", 0, 0, 0, 19, 0, 0, 2, 1, 22
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1_1.cs", "C#", 0, 0, 0, 9, 0, 0, 2, 1, 12
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1_1_index.cs", "C#", 0, 0, 0, 10, 0, 0, 2, 1, 13
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1_2.cs", "C#", 0, 0, 0, 8, 0, 0, 2, 1, 11
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1_2_index.cs", "C#", 0, 0, 0, 9, 0, 0, 2, 1, 12
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1_3.cs", "C#", 0, 0, 0, 8, 0, 0, 2, 1, 11
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1_3_index.cs", "C#", 0, 0, 0, 9, 0, 0, 2, 1, 12
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1_4.cs", "C#", 0, 0, 0, 10, 0, 0, 2, 1, 13
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_1_4_index.cs", "C#", 0, 0, 0, 11, 0, 0, 2, 1, 14
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2Res_1.cs", "C#", 0, 0, 0, 11, 0, 0, 2, 1, 14
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2Res_2.cs", "C#", 0, 0, 0, 11, 0, 0, 2, 1, 14
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2Res_3.cs", "C#", 0, 0, 0, 19, 0, 0, 2, 2, 23
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2_1.cs", "C#", 0, 0, 0, 15, 0, 0, 2, 1, 18
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2_1_index.cs", "C#", 0, 0, 0, 16, 0, 0, 2, 1, 19
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2_2.cs", "C#", 0, 0, 0, 8, 0, 0, 2, 2, 12
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2_2_index.cs", "C#", 0, 0, 0, 9, 0, 0, 2, 2, 13
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2_3.cs", "C#", 0, 0, 0, 15, 0, 0, 2, 1, 18
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2_3_index.cs", "C#", 0, 0, 0, 16, 0, 0, 2, 1, 19
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2_4.cs", "C#", 0, 0, 0, 8, 0, 0, 2, 1, 11
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_2_4_index.cs", "C#", 0, 0, 0, 9, 0, 0, 2, 1, 12
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_3Res_1.cs", "C#", 0, 0, 0, 11, 0, 0, 2, 1, 14
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_3Res_2.cs", "C#", 0, 0, 0, 11, 0, 0, 2, 2, 15
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_3Res_3.cs", "C#", 0, 0, 0, 19, 0, 0, 2, 1, 22
"d:\新系统开发\OilSystem\OilBlendSystem.Models\Diesel\ConstructModel\Recipecalc_3_1.cs", "C#", 0, 0, 0, 15, 0, 0, 2, 1, 18
